Name	Source	CR	Type	Size	PP	Image	Token	Named
Magma Mephit	Basic Rules (2014)	0.5	Elemental	S	10	https://www.dndbeyond.com/avatars/thumbnails/31079/74/1000/1000/638074037477949301.png	gaetb	FALSE
Magma Mephit (Summoner Variant)	Monster Manual (2014)	0.5	Elemental	S				FALSE
Magma Troll	Monsters of Drakkenheim	7	Giant	L				FALSE
Magmin	Basic Rules (2014)	0.5	Elemental	S	10	https://www.dndbeyond.com/avatars/thumbnails/30833/322/1000/1000/638063861332130639.png	cjz2z	FALSE
Mahadi the Rakshasa	Baldur's Gate: Descent into Avernus	14	Fiend	M				TRUE
Mahoru	Tome of Beasts 1	3	Monstrosity	L				FALSE
Maidenwood	The Crooked Moon Part Two: Monsters & Adventure Campaign	9	Plant	H				FALSE
Malakbel Demon	Tome of Beasts 1	9	Fiend	M				FALSE
Malaxxix	The Book of Many Things	18	Fiend	H				TRUE
Male Steeder	Mordenkainen Presents: Monsters of the Multiverse	0.25	Monstrosity	M				FALSE
Malformed Kraken	Tales from the Yawning Portal	10	Monstrosity	H				FALSE
Malfuriel the Betrayer	The Griffon's Saddlebag: Book Two	10	Fiend	L				TRUE
Malikirian Imp	Lairs of Etharis	1	Fiend	T				FALSE
Mallqui	Tome of Beasts 1	8	Undead	M				FALSE
Malphas	Tome of Beasts 1	6	Fey	M				FALSE
Mammoth	Basic Rules (2014)	6	Beast	H				FALSE
Mamura	Tome of Beasts 1	6	Aberration	S				FALSE
Manafret Cherryport	Waterdeep: Dragon Heist	6	Humanoid	S				TRUE
Manes	Monster Manual (2014)	0.125	Fiend	S				FALSE
Manshoon	Waterdeep: Dragon Heist	13	Humanoid	M				TRUE
Manshoon's Simulacrum	Waterdeep: Dragon Heist	8	Humanoid	M				TRUE
Manticore	Basic Rules (2014)	3	Monstrosity	L	11	https://www.dndbeyond.com/avatars/thumbnails/30833/344/1000/1000/638063861715070425.png	z966q	FALSE
Mantrap	Tomb of Annihilation	1	Plant	L				FALSE
Map Mimic	Tome of Beasts 1	0.25	Monstrosity	T				FALSE
Mapach Thug	Humblewood Tales	0.5	Humanoid	M				FALSE
Marid	Monster Manual (2014)	11	Elemental	L				FALSE
Marilith	Basic Rules (2014)	16	Fiend (demon)	L	13	https://www.dndbeyond.com/avatars/thumbnails/30781/628/1000/1000/638061931913755502.png	pwp5v	FALSE
Marilith (Summoner Variant)	Monster Manual (2014)	16	Fiend	L				FALSE
Markham Southwell	Storm King's Thunder	0	Humanoid	M				FALSE
Markos Delphi	Keys from the Golden Vault	3	Humanoid	M				FALSE
Marlos Urnrayle	Princes of the Apocalypse	8	Monstrosity	M				TRUE
Marta Moonshadow	Waterdeep: Dungeon of the Mad Mage	6	Humanoid	M				TRUE
Martial Arts Adept	Mordenkainen Presents: Monsters of the Multiverse	3	Humanoid	M				FALSE
Marut	Mordenkainen Presents: Monsters of the Multiverse	25	Construct	L				FALSE
Mary Greymalkin	Lost Laboratory of Kwalish	2	Humanoid					TRUE
Maschin-i-Bozorg	Quests from the Infinite Staircase	8	Construct	L				FALSE
Mask Wight	Tome of Beasts 1	13	Undead	M				FALSE
Master Adranach	Tal'Dorei Campaign Setting Reborn	21	Construct	G				FALSE
Master Mage	Monsters of Drakkenheim	6	Humanoid	M				FALSE
Master of Cruelties	Guildmasters' Guide to Ravnica	9	Fiend	L				FALSE
Master of Souls	Baldur's Gate: Descent into Avernus	4	Humanoid	M				FALSE
Master Sage	Candlekeep Mysteries	5	Humanoid	M				FALSE
Master Thief	Mordenkainen Presents: Monsters of the Multiverse	5	Humanoid	M				FALSE
Mastiff	Basic Rules (2014)	0.125	Beast	M	13	https://www.dndbeyond.com/avatars/thumbnails/30849/339/1000/1000/638064501182707662.png	437m2	FALSE
Maurezhi	Mordenkainen Presents: Monsters of the Multiverse	7	Fiend	M				FALSE
Mavka	Tome of Beasts 1	12	Undead	M				FALSE
Maw Demon	Mordenkainen Presents: Monsters of the Multiverse	1	Fiend	M				FALSE
Maw of Sekolah	Ghosts of Saltmarsh	7	Monstrosity	H				FALSE
Maw of Yeenoghu	Bigby Presents: Glory of the Giants	10	Fiend	H				FALSE
Maw Vermin	Monsters of Drakkenheim	10	Monstrosity	H				FALSE
Mbielu Dinosaur	Tome of Beasts 1	3	Beast	H				FALSE
Meazel	Mordenkainen Presents: Monsters of the Multiverse	1	Monstrosity	M				FALSE
Mechachimera	Acquisitions Incorporated	6	Construct	L				FALSE
Medi Tuck	Humblewood Tales	0	Humanoid	S				FALSE
Medusa	Basic Rules (2014)	6	Monstrosity	M	14	https://www.dndbeyond.com/avatars/thumbnails/30833/355/1000/1000/638063862056716335.png	6uqqt	FALSE
Medusa (Theran variant)	Mythic Odysseys of Theros	6	Monstrosity	M				FALSE
Meenlock	Mordenkainen Presents: Monsters of the Multiverse	2	Fey	S				FALSE
Megapede	Spelljammer: Adventures in Space	11	Monstrosity	G				FALSE
Melannor Fellbranch	Waterdeep: Dragon Heist	2	Humanoid	M				TRUE
Meletian Hoplite	Mythic Odysseys of Theros	3	Humanoid	M				FALSE
Melissara Shadowdusk	Waterdeep: Dungeon of the Mad Mage	12	Humanoid	M				TRUE
Meloon Wardragon	Waterdeep: Dragon Heist	9	Humanoid	M				TRUE
Memory Thief	Book of Ebon Tides	2	Humanoid	M				FALSE
Memory Web	Quests from the Infinite Staircase	4	Aberration	L				FALSE
Mercane	Spelljammer: Adventures in Space	5	Celestial	L				FALSE
Merchant Lord	The Griffon's Saddlebag: Book Two	3	Humanoid	M				FALSE
Mercion	The Wild Beyond the Witchlight	3	Humanoid	M				FALSE
Mercykiller Bloodhound	Planescape: Adventures in the Multiverse	7	Humanoid	M				FALSE
Merfolk	Basic Rules (2014)	0.125	Humanoid (merfolk)	M	12	https://www.dndbeyond.com/avatars/thumbnails/30833/374/1000/1000/638063862492555953.png	5mcny	FALSE
Merfolk Salvager	Ghosts of Saltmarsh	1	Humanoid	M				FALSE
Merfolk Scout	Ghosts of Saltmarsh	0.5	Humanoid	M				FALSE
Merle and Morris Mossbow	Humblewood Tales	0	Humanoid	M				TRUE
Merregon	Mordenkainen Presents: Monsters of the Multiverse	4	Fiend	M				FALSE
Merrenoloth	Mordenkainen Presents: Monsters of the Multiverse	3	Fiend	M				FALSE
Merrow	Basic Rules (2014)	2	Monstrosity	L	10	https://www.dndbeyond.com/avatars/thumbnails/30833/389/1000/1000/638063862754985837.png	nr7bq	FALSE
Merrow Shallowpriest	Explorer's Guide to Wildemount	4	Monstrosity	L				FALSE
Metal Wasp	Waterdeep: Dungeon of the Mad Mage	0.5	Construct	M				FALSE
Metallic Peacekeeper	Fizban's Treasury of Dragons	4	Construct	M				FALSE
Metallic Warbler	Fizban's Treasury of Dragons	0.25	Construct	T				FALSE
Mev Flintknapper	Out of the Abyss	3	Humanoid	S				TRUE
Mezzoloth	Monster Manual (2014)	5	Fiend	M				FALSE
Mezzoloth (summoner variant)	Monster Manual (2014)	5	Fiend	M				FALSE
Mi-go	Tome of Beasts 1	5	Plant	M				FALSE
Mighty Servant of Leuk-o	Tasha's Cauldron of Everything	21	Construct	H				FALSE
Miirym	Candlekeep Mysteries	22	Undead	L				TRUE
Milivoj	Curse of Strahd	0	Humanoid	M				FALSE
Millitaur	Tome of Beasts 1	3	Monstrosity	L				FALSE
Mimic	Basic Rules (2014)	2	Monstrosity (shapechanger)	M	11	https://www.dndbeyond.com/avatars/thumbnails/30833/408/1000/1000/638063863232165584.png	z9c86	FALSE
Mimic Chair	Candlekeep Mysteries	2	Monstrosity	M				FALSE
Mimic Keg	The Griffon's Saddlebag: Book Two	2	Monstrosity	M				FALSE
Minazorond	Monsters of Drakkenheim	18	Dragon	H				FALSE
Mind Drinker Vampire	Guildmasters' Guide to Ravnica	4	Undead	M				FALSE
Mind Flayer	Monster Manual (2014)	7	Aberration	M				FALSE
Mind Flayer Arcanist	Monster Manual (2014)	8	Aberration	M				FALSE
Mind Flayer Clairvoyant	Phandelver and Below: The Shattered Obelisk	11	Aberration	M				FALSE
Mind Flayer Lich (Illithilich)	Volo's Guide to Monsters	22	Undead	M				FALSE
Mind Flayer Nothic	Phandelver and Below: The Shattered Obelisk	2	Aberration	M				FALSE
Mind Flayer Prophet	Phandelver and Below: The Shattered Obelisk	8	Aberration	M				FALSE
Mind Flayer Psion	Volo's Guide to Monsters	8	Aberration	M				FALSE
Mind Leech	Monsters of Drakkenheim	1	Monstrosity	T				FALSE
Mind Mage	Guildmasters' Guide to Ravnica	5	Humanoid	M				FALSE
Mind’s Eye Matter Smith	Planescape: Adventures in the Multiverse	4	Humanoid	M				FALSE
Mindrot Thrall	Tome of Beasts 1	3	Plant	M				FALSE
Mindwitness	Mordenkainen Presents: Monsters of the Multiverse	5	Aberration	L				FALSE
Minotaur	Basic Rules (2014)	3	Monstrosity	L	17	https://www.dndbeyond.com/avatars/thumbnails/30833/457/1000/1000/638063864308085049.png	bbcyr	FALSE
Minotaur Archaeologist	The Book of Many Things	0.25	Humanoid	M				FALSE
Minotaur Infiltrator	The Book of Many Things	2	Humanoid	M				FALSE
Minotaur Living Crystal Statue	Ghosts of Saltmarsh	6	Construct	L				FALSE
Minotaur Skeleton	Basic Rules (2014)	2	Undead	L	9	https://www.dndbeyond.com/avatars/thumbnails/30835/858/1000/1000/638063922665935822.png	2vsre	FALSE
Mirager	Tome of Beasts 1	3	Fey	M				FALSE
Miraj Vizann	Princes of the Apocalypse	6	Humanoid	M				TRUE
Miremal	Tome of Beasts 1	0.5	Fey	S				FALSE
Miros Xelbrin	Storm King's Thunder	0	Humanoid	M				FALSE
Mirror Hag	Tome of Beasts 1	6	Fey	M				FALSE
Mirror Shade	Vecna: Eve of Ruin	10	Undead	M				FALSE
Mirt	Waterdeep: Dragon Heist	9	Humanoid	M				TRUE
Miska the Wolf-Spider	Vecna: Eve of Ruin	24	Fiend	H				TRUE
Missionary	Monsters of Drakkenheim	4	Humanoid	M				FALSE
Mist Hulk	Bigby Presents: Glory of the Giants	6	Elemental	L				FALSE
Mister Light	The Wild Beyond the Witchlight	3	Humanoid	M				TRUE
Mister Witch	The Wild Beyond the Witchlight	3	Humanoid	M				TRUE
Mithral Dragon Wyrmling	Tome of Beasts 1	1	Dragon	M				FALSE
Mizanoros, the Black Iron Fulcrum (Variant)	The Griffon's Saddlebag: Book Two	25	Fiend	H				TRUE
Mjenir	Icewind Dale: Rime of the Frostmaiden	2	Humanoid	M				TRUE
Mjork	Lairs of Etharis	3	Elemental	M				FALSE
Mjork Asher	Lairs of Etharis	6	Elemental	L				FALSE
Mjork Burner	Lairs of Etharis	6	Elemental	L				FALSE
Mjork Charger	Lairs of Etharis	7	Elemental	L				FALSE
Mjork Sootling	Lairs of Etharis	0.25	Elemental	T				FALSE
Mjork Sootling Swarm	Lairs of Etharis	2	Elemental	M				FALSE
Mngwa	Tome of Beasts 1	4	Aberration	M				FALSE
Moghadam	Infernal Machine Rebuild	12	Humanoid	M				FALSE
Mold Spider	Lairs of Etharis	0	Plant	T				FALSE
Molefolk	Book of Ebon Tides	0.25	Humanoid	S				FALSE
Molliver	The Wild Beyond the Witchlight	3	Humanoid	M				TRUE
Moloch	Mordenkainen Presents: Monsters of the Multiverse	21	Fiend	L				TRUE
Molten Magma Roper	Princes of the Apocalypse	11	Monstrosity	L				FALSE
Molydeus	Mordenkainen Presents: Monsters of the Multiverse	21	Fiend	H				TRUE
Molydeus (Summoner Variant)	Mordenkainen Presents: Monsters of the Multiverse	21	Fiend	H				FALSE
Monastic High Curator	Critical Role: Call of the Netherdeep	10	Humanoid	M				FALSE
Monastic Infiltrator	Critical Role: Call of the Netherdeep	6	Humanoid	M				FALSE
Monastic Operative	Critical Role: Call of the Netherdeep	5	Humanoid	M				FALSE
Mongrelfolk	Curse of Strahd	0.25	Humanoid	M				FALSE
Monodrone	Monster Manual (2014)	0.125	Construct	M				FALSE
Monolith Champion	Tome of Beasts 1	8	Construct	L				FALSE
Monolith Footman	Tome of Beasts 1	3	Construct	L				FALSE
Monstrous Peryton	Ghosts of Saltmarsh	11	Monstrosity	L				FALSE
Mookie Plush	Waterdeep: Dragon Heist	3	Humanoid	S				TRUE
Moonflower	Humblewood Tales	2	Humanoid	S				TRUE
Moonlight Guardian	Vecna: Eve of Ruin	6	Construct	M				FALSE
Moonlit King	Tome of Beasts 1	17	Fey	M				FALSE
Moonshadow Catcher	Book of Ebon Tides	2	Humanoid	S				FALSE
Moonshark	Critical Role: Call of the Netherdeep	5	Beast	H				FALSE
Moonstone Dragon Wyrmling	Fizban's Treasury of Dragons	2	Dragon	M				FALSE
Moorbounder	Explorer's Guide to Wildemount	1	Beast	L				FALSE
Morbus Kobold	Lairs of Etharis	0.125	Humanoid	S				FALSE
Mordakhesh	Eberron: Rising from the Last War	15	Fiend	M				TRUE
Mordant Snare	Tome of Beasts 1	15	Aberration	G				FALSE
Môrgæn	Acquisitions Incorporated	4	Humanoid	M				FALSE
Morkoth	Mordenkainen Presents: Monsters of the Multiverse	11	Aberration	L				FALSE
Mormesk the Wraith	Lost Mine of Phandelver	3	Undead	M				TRUE
Morphoi	Tome of Beasts 1	0.5	Plant	M				FALSE
Morte	Planescape: Adventures in the Multiverse	0.25	Undead	T				TRUE
Mortlock Vanthampur	Baldur's Gate: Descent into Avernus	3	Humanoid	M				TRUE
Moss Lurker	Tome of Beasts 1	1	Humanoid	S				FALSE
Mossback Steward	Explorer's Guide to Wildemount	7	Monstrosity	G				FALSE
Mountain Goat	Icewind Dale: Rime of the Frostmaiden	0.125	Beast	M				FALSE
Mouth of Grolantor	Mordenkainen Presents: Monsters of the Multiverse	6	Giant	H				FALSE
Mr. Dory	Ghosts of Saltmarsh	10	Aberration	M				FALSE
Mud Hulk	Bigby Presents: Glory of the Giants	3	Elemental	L				FALSE
Mud Mephit	Monster Manual (2014)	0.25	Elemental	S				FALSE
Mud Mephit (Summoner Variant)	Monster Manual (2014)	0.25	Elemental	S				FALSE
Muiral	Waterdeep: Dungeon of the Mad Mage	13	Monstrosity	L				TRUE
Mule	Basic Rules (2014)	0.125	Beast	M				FALSE
Mummy	Basic Rules (2014)	3	Undead	M	10	https://www.dndbeyond.com/avatars/thumbnails/30833/586/1000/1000/638063867954193239.png	ctpkj	FALSE
Mummy Lord	Basic Rules (2014)	15	Undead	M	14	https://www.dndbeyond.com/avatars/thumbnails/30833/586/1000/1000/638063867954193239.png	ctpkj	FALSE
Murder Comet	Spelljammer: Adventures in Space	5	Elemental	M				FALSE
Murgaxor	Strixhaven: A Curriculum of Chaos	9	Humanoid	M				FALSE
Musteval Guardinal	Planescape: Adventures in the Multiverse	2	Celestial	S				FALSE
Mutagenist	Monsters of Drakkenheim	10	Humanoid	M				FALSE
Mutant Nurse	The Crooked Moon Part Two: Monsters & Adventure Campaign	3	Aberration	M				FALSE
Mutated Drow	Waterdeep: Dungeon of the Mad Mage	9	Giant	H				FALSE
Mwaxanaré	Tomb of Annihilation	0.125	Humanoid	M				TRUE
Myconid Adult	Monster Manual (2014)	0.5	Plant	M				FALSE
Myconid Sovereign	Monster Manual (2014)	2	Plant	L				FALSE
Myconid Sprout	Monster Manual (2014)	0	Plant	S				FALSE
Myling	Tome of Beasts 1	2	Undead	S				FALSE
Nabassu	Mordenkainen's Tome of Foes	15	Fiend	M				FALSE
Naergoth Bladelord	Tyranny of Dragons	11	Undead	M				FALSE
Nafas	Quests from the Infinite Staircase	23	Elemental	L				TRUE
Nafik	Quests from the Infinite Staircase	6	Undead	M				TRUE
Nagpa	Mordenkainen's Tome of Foes	17	Humanoid	M				FALSE
Naiad	Mythic Odysseys of Theros	2	Fey	M				FALSE
Naina	Tome of Beasts 1	11	Dragon	L				FALSE
Nalfeshnee	Basic Rules (2014)	13	Fiend (demon)	L	11	https://www.dndbeyond.com/avatars/thumbnails/30781/631/1000/1000/638061932026824909.png	wuf3p	FALSE
Nalfeshnee (Summoner Variant)	Monster Manual (2014)	13	Fiend	L				FALSE
Narrak	Out of the Abyss	2	Humanoid	S				TRUE
Narth Tezrin	Storm King's Thunder	0	Humanoid	M				FALSE
Narzugon	Mordenkainen Presents: Monsters of the Multiverse	13	Fiend	M				FALSE
Nass Lantomir's Ghost	Icewind Dale: Rime of the Frostmaiden	6	Undead	M				TRUE
Nathaniel Flint, Pilgrimage Leader	Monsters of Drakkenheim	6	Humanoid	M				TRUE
Naxene Drathkala	Storm King's Thunder	0	Humanoid	M				FALSE
Necrichor	Van Richten's Guide to Ravenloft	7	Undead	M				FALSE
Necrohydra	Tome of Beasts 1	9	Undead	H				FALSE
Necrolisk	The Crooked Moon Part Two: Monsters & Adventure Campaign	10	Dragon	H				FALSE
Necromancer	Volo's Guide to Monsters	9	Humanoid	M				FALSE
Necromancer Wizard	Mordenkainen Presents: Monsters of the Multiverse	9	Humanoid	M				FALSE
Necromite of Myrkul	Baldur's Gate: Descent into Avernus	0.5	Humanoid	M				FALSE
Necrotic Centipede	Baldur's Gate: Descent into Avernus	11	Monstrosity	H				FALSE
Needle Blight	Monster Manual (2014)	0.25	Plant	M				FALSE
Neh-thalggu	Spelljammer: Adventures in Space	4	Aberration	L				FALSE
Nellik	Phandelver and Below: The Shattered Obelisk	9	Fiend	L				TRUE
Neo-Otyugh	Infernal Machine Rebuild	7	Aberration	H				FALSE
Neogi	Mordenkainen Presents: Monsters of the Multiverse	3	Aberration	S				FALSE
Neogi Hatchling	Mordenkainen Presents: Monsters of the Multiverse	0.125	Aberration	T				FALSE
Neogi Hatchling Swarm	Spelljammer: Adventures in Space	3	Aberration	M				FALSE
Neogi Master	Mordenkainen Presents: Monsters of the Multiverse	4	Aberration	M				FALSE
Neogi Pirate	Spelljammer: Adventures in Space	3	Aberration	S				FALSE
Neogi Void Hunter	Spelljammer: Adventures in Space	4	Aberration	M				FALSE
Neothelid	Mordenkainen Presents: Monsters of the Multiverse	13	Aberration	G				FALSE
Nereid	Tales from the Yawning Portal	2	Fey	M				FALSE
Nergaliid	Explorer's Guide to Wildemount	3	Fiend	L				FALSE
Neronvain	Tyranny of Dragons	6	Humanoid	M				TRUE
Nerozar the Defeated	Waterdeep: Dungeon of the Mad Mage	5	Undead	L				TRUE
Nester	Waterdeep: Dungeon of the Mad Mage	12	Undead	M				TRUE
Nezznar the Black Spider	Lost Mine of Phandelver	2	Humanoid	M				TRUE
Nezznar the Spider	Phandelver and Below: The Shattered Obelisk	2	Humanoid	M				TRUE
Ngobou Dinosaur	Tome of Beasts 1	5	Beast	L				FALSE
Nichny	Tome of Beasts 1	6	Fey	M				FALSE
Night Blade	Monsters of Drakkenheim	7	Undead	M				FALSE
Night Creature	The Crooked Moon Part Two: Monsters & Adventure Campaign	4	Fiend	L				FALSE
Night Hag	Basic Rules (2014)	5	Fiend	M	16	https://www.dndbeyond.com/avatars/thumbnails/30788/622/1000/1000/638062177695355747.png	y7zs8	FALSE
Night Hag (Coven Variant)	Monster Manual (2014)	7	Fiend	M				FALSE
Night Scavver	Spelljammer: Adventures in Space	5	Monstrosity	H				FALSE
Night Scorpion	Tome of Beasts 1	3	Beast	L				FALSE
Nightgarm	Tome of Beasts 1	6	Monstrosity	L				FALSE
Nightmare	Basic Rules (2014)	3	Fiend	L	11	https://www.dndbeyond.com/avatars/thumbnails/30833/688/1000/1000/638063870454021777.png	j9qhn	FALSE
Nightmare Shepherd	Mythic Odysseys of Theros	11	Fiend	L				FALSE
Nightsea chil-liren	Journeys through the Radiant Citadel	0.125	Humanoid	M				FALSE
Nightveil Specter	Guildmasters' Guide to Ravnica	10	Undead	M				FALSE
Nightwalker	Mordenkainen Presents: Monsters of the Multiverse	20	Undead	H				FALSE
Nihileth Aboleth	Tome of Beasts 1	13	Undead	L				FALSE
Nihilethic Dominator	Tome of Beasts 1	5	Undead	L				FALSE
Nihilethic Zombie	Tome of Beasts 1	1	Undead	M				FALSE
Nilbog	Mordenkainen Presents: Monsters of the Multiverse	1	Fey	S				FALSE
Nimblewright	Waterdeep: Dragon Heist	4	Construct	M				FALSE
Nimblewright Guard	Forgotten Realms: Adventures in Faerûn	3	Construct	M				FALSE
Nimblewright Hulk	Forgotten Realms: Adventures in Faerûn	7	Construct	L				FALSE
Nimblewright Steed	Forgotten Realms: Adventures in Faerûn	2	Construct	L				FALSE
Nimir	Storm King's Thunder	0	Giant	H				FALSE
Nimira	Tales from the Yawning Portal	3	Humanoid	M				TRUE
Nine-Fingers Keene	Baldur's Gate: Descent into Avernus	5	Humanoid	M				TRUE
Nintra Siotta	Candlekeep Mysteries	16	Fey	L				TRUE
Niv-Mizzet	Guildmasters' Guide to Ravnica	26	Dragon	G				TRUE
Nivix Cyclops	Guildmasters' Guide to Ravnica	8	Giant	L				FALSE
Nkosi	Tome of Beasts 1	0.5	Humanoid	M				FALSE
Nkosi Pridelord	Tome of Beasts 1	4	Humanoid	M				FALSE
Noble	Basic Rules (2014)	0.125	Humanoid	M				FALSE
Noctiny	Tome of Beasts 1	2	Humanoid	M				FALSE
Nonaton Modron	Planescape: Adventures in the Multiverse	10	Construct	L				FALSE
Nosferatu	Van Richten's Guide to Ravenloft	8	Undead	M				TRUE
Noska Ur'gray	Waterdeep: Dragon Heist	0.5	Humanoid	M				FALSE
Nothic	Basic Rules (2014)	2	Aberration	M	12	https://www.dndbeyond.com/avatars/thumbnails/30833/693/1000/1000/638063870558761680.png	vnt2c	FALSE
Nupperibo	Mordenkainen Presents: Monsters of the Multiverse	0.5	Fiend	M				FALSE
Nurvureem	Princes of the Apocalypse	14	Dragon	H				FALSE
Nycaloth	Monster Manual (2014)	9	Fiend	L				FALSE
Nycaloth (summoner variant)	Monster Manual (2014)	9	Fiend	L				FALSE
Nymph	Tales from the Shadows	4	Fey	M				FALSE
Nyx-Fleece Ram	Mythic Odysseys of Theros	1	Monstrosity	M				FALSE
Nyxborn lynx	Mythic Odysseys of Theros	1	Beast	L				FALSE
Oak Troll	Monsters of Drakkenheim	6	Giant	H				FALSE
Oak TRUEstrike	Acquisitions Incorporated	2	Humanoid	M				FALSE
Oaken Bolter	Mordenkainen's Tome of Foes	5	Construct	M				FALSE
Oblex Spawn	Mordenkainen Presents: Monsters of the Multiverse	0.25	Ooze	T				FALSE
Obliteros	Waterdeep: Dragon Heist	5	Beast	H				TRUE
Oblivion Brute	Lairs of Etharis	5	Undead	L				FALSE
Oblivion Juggernaut	Lairs of Etharis	8	Undead	H				FALSE
Oblivion Leaper	Lairs of Etharis	1	Undead	S				FALSE
Oblivion Whistler	Lairs of Etharis	2	Undead	M				FALSE
Obmi	Tales from the Yawning Portal	8	Humanoid	M				TRUE
Obzedat Ghost	Guildmasters' Guide to Ravnica	8	Undead	M				FALSE
Occult Extollant	Critical Role: Call of the Netherdeep	6	Humanoid	M				FALSE
Occult Initiate	Critical Role: Call of the Netherdeep	2	Humanoid	M				FALSE
Occult Silvertongue	Critical Role: Call of the Netherdeep	8	Humanoid	M				FALSE
Oceanus	Ghosts of Saltmarsh	0.5	Humanoid	M				FALSE
Ochre Elson with Morath, Scepter of the Soul Vortex (Variant)	The Griffon's Saddlebag: Book Two	12	Humanoid	M				TRUE
Ochre Elson, Animarum Maestro	The Griffon's Saddlebag: Book Two	9	Humanoid	M				TRUE
Ochre Jelly	Basic Rules (2014)	2	Ooze	L	8	https://www.dndbeyond.com/avatars/thumbnails/30834/156/1000/1000/638063882689085149.png	8qt79	FALSE
Octarine Tree	Monsters of Drakkenheim	9	Plant	H				FALSE
Octon Modron	Planescape: Adventures in the Multiverse	11	Construct	L				FALSE
Octopus	Basic Rules (2014)	0	Beast	S	12	https://www.dndbeyond.com/avatars/thumbnails/9/921/1000/1000/636334602449110996.jpeg	z2pcg	FALSE
Oculo Swarm	Tome of Beasts 1	4	Aberration	L				FALSE
Oculorb	Phandelver and Below: The Shattered Obelisk	9	Aberration	L				FALSE
Oddlewin	The Book of Many Things	2	Fey	S				TRUE
Ogden Fellweaver	The Griffon's Saddlebag: Book Two	12	Humanoid	M				FALSE
Ogre	Basic Rules (2014)	2	Giant	L	8	https://www.dndbeyond.com/avatars/thumbnails/30834/129/1000/1000/638063882039265538.png	msqtw	FALSE
Ogre Battering Ram	Mordenkainen Presents: Monsters of the Multiverse	4	Giant	L				FALSE
Ogre Bolt Launcher	Mordenkainen Presents: Monsters of the Multiverse	2	Giant	L				FALSE
Ogre Chain Brute	Mordenkainen Presents: Monsters of the Multiverse	3	Giant	L				FALSE
Ogre Corrupted Chieftain	Tome of Beasts 1	7	Giant	L				FALSE
Ogre Howdah	Mordenkainen Presents: Monsters of the Multiverse	2	Giant	L				FALSE
Ogre Lord Buhfal II	Explorer's Guide to Wildemount	2	Giant	L				TRUE
Ogre Skeleton	Tales from the Yawning Portal	2	Undead	L				FALSE
Ogre Zombie	Basic Rules (2014)	2	Undead	L	8	https://www.dndbeyond.com/avatars/thumbnails/30836/792/1000/1000/638063944606051354.png	j4hre	FALSE
Ogrémoch	Princes of the Apocalypse	20	Elemental	G				TRUE
Oinoloth	Mordenkainen Presents: Monsters of the Multiverse	12	Fiend	M				FALSE
Olara	Critical Role: Call of the Netherdeep	0.5	Humanoid	M				TRUE
Old Croaker	Explorer's Guide to Wildemount	1	Beast	L				FALSE
Old Ways Chosen	The Crooked Moon Part Two: Monsters & Adventure Campaign	5	Humanoid	M				FALSE
Olhydra	Princes of the Apocalypse	18	Elemental	H				TRUE
Oma Rattenfanger	Book of Ebon Tides	12	Fey	T				TRUE
Omin Dran	Acquisitions Incorporated	5	Humanoid	M				FALSE
One-Eyed Shiver	Princes of the Apocalypse	3	Humanoid	M				TRUE
Oni	Basic Rules (2014)	7	Giant	L	14	https://www.dndbeyond.com/avatars/thumbnails/30834/140/1000/1000/638063882286245284.png	8ezxa	FALSE
Onyx	Acquisitions Incorporated	0	Beast	H				FALSE
Oozasis	Tome of Beasts 1	9	Ooze	G				FALSE
Ooze Master	Tales from the Yawning Portal	10	Undead	H				TRUE
Oozing Vulture	Lairs of Etharis	2	Monstrosity	M				FALSE
Oracle	Mythic Odysseys of Theros	4	Humanoid	M				FALSE
Oracle of Strixhaven	Strixhaven: A Curriculum of Chaos	15	Humanoid	M				FALSE
Oracle of the Rat God	Monsters of Drakkenheim	9	Monstrosity	S				FALSE
Oracs the Enduring	Explorer's Guide to Wildemount	21	Undead	G				TRUE
Orc	Basic Rules (2014)	0.5	Humanoid (orc)	M	10	https://www.dndbeyond.com/avatars/thumbnails/30834/160/1000/1000/638063882785865067.png	rja4y	FALSE
Orc Blade of Ilneval	Volo's Guide to Monsters	4	Humanoid	M				FALSE
Orc Claw of Luthic	Volo's Guide to Monsters	2	Humanoid	M				FALSE
Orc Eye of Gruumsh	Monster Manual (2014)	2	Humanoid	M				FALSE
Orc Hand of Yurtrus	Volo's Guide to Monsters	2	Humanoid	M				FALSE
Orc Nurtured One of Yurtrus	Volo's Guide to Monsters	0.5	Humanoid	M				FALSE
Orc Red Fang of Shargaas	Volo's Guide to Monsters	3	Humanoid	M				FALSE
Orc War Chief	Monster Manual (2014)	4	Humanoid	M				FALSE
Orcus	Mordenkainen Presents: Monsters of the Multiverse	26	Fiend	H				TRUE
Ordeal Tree	Lairs of Etharis	12	Plant	G				FALSE
Oread	Mythic Odysseys of Theros	4	Fey	M				FALSE
Oreioth	Princes of the Apocalypse	2	Humanoid	M				TRUE
Oren Yogilvy	Storm King's Thunder	0	Humanoid	S				FALSE
Oriq Blood Mage	Strixhaven: A Curriculum of Chaos	9	Humanoid	M				FALSE
Oriq Recruiter	Strixhaven: A Curriculum of Chaos	4	Humanoid	M				FALSE
Orlekto	Storm King's Thunder	0	Giant	H				FALSE
Orn Proudbeak	Humblewood Tales	0	Humanoid	M				TRUE
Orobas Devil	Tome of Beasts 1	14	Fiend	L				FALSE
